Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/ticam1_ko_source_score
Mapping: Phkb Calm4 -- 0.8
Mapping: Phka2 Calm1 -- 0.8
Mapping: Phka2 Calm2 -- 0.8
Mapping: Phka2 Calm3 -- 0.8
Mapping: Phka2 Calml3 -- 0.8
Mapping: Phka2 Calm4 -- 0.8
Mapping: Phka1 Calm1 -- 0.8
Mapping: Phka1 Calm2 -- 0.8
Mapping: Phka1 Calm3 -- 0.8
Mapping: Phka1 Calml3 -- 0.8
Mapping: Phka1 Calm4 -- 0.8
Mapping: Phkg1 Calm1 -- 0.8
Mapping: Phkg1 Calm2 -- 0.8
Mapping: Phkg1 Calm3 -- 0.8
Mapping: Phkg1 Calml3 -- 0.8
Mapping: Phkg1 Calm4 -- 0.8
Mapping: Phkg2 Calm1 -- 0.8
Mapping: Phkg2 Calm2 -- 0.8
Mapping: Phkg2 Calm3 -- 0.8
Mapping: Phkg2 Calml3 -- 0.8
Mapping: Phkg2 Calm4 -- 0.8
Mapping: Ppp3ca Calm1 -- 0.8
Mapping: Ppp3ca Calm2 -- 0.8
Mapping: Ppp3ca Calm3 -- 0.8
Mapping: Ppp3ca Calml3 -- 0.8
Mapping: Ppp3ca Calm4 -- 0.8
Mapping: Ppp3cb Calm1 -- 0.8
Mapping: Ppp3cb Calm2 -- 0.8
Mapping: Ppp3cb Calm3 -- 0.8
Mapping: Ppp3cb Calml3 -- 0.8
Mapping: Ppp3cb Calm4 -- 0.8
Mapping: Ppp3cc Calm1 -- 0.8
Mapping: Ppp3cc Calm2 -- 0.8
Mapping: Ppp3cc Calm3 -- 0.8
Mapping: Ppp3cc Calml3 -- 0.8
Mapping: Ppp3cc Calm4 -- 0.8
Mapping: Ppp3r1 Calm1 -- 0.8
Mapping: Ppp3r1 Calm2 -- 0.8
Mapping: Ppp3r1 Calm3 -- 0.8
Mapping: Ppp3r1 Calml3 -- 0.8
Mapping: Ppp3r1 Calm4 -- 0.8
Mapping: Ppp3r2 Calm1 -- 0.8
Mapping: Ppp3r2 Calm2 -- 0.8
Mapping: Ppp3r2 Calm3 -- 0.8
Mapping: Ppp3r2 Calml3 -- 0.8
Mapping: Ppp3r2 Calm4 -- 0.8
Mapping: 1500003O03Rik Calm1 -- 0.8
Mapping: 1500003O03Rik Calm2 -- 0.8
Mapping: 1500003O03Rik Calm3 -- 0.8
Mapping: 1500003O03Rik Calml3 -- 0.8
Mapping: 1500003O03Rik Calm4 -- 0.8
Mapping: 2010110P09Rik Calm1 -- 0.8
Mapping: 2010110P09Rik Calm2 -- 0.8
Mapping: 2010110P09Rik Calm3 -- 0.8
Mapping: 2010110P09Rik Calml3 -- 0.8
Mapping: 2010110P09Rik Calm4 -- 0.8
Mapping: Calm1 Nos1 -- 0.8
Mapping: Calm2 Nos1 -- 0.8
Mapping: Calm3 Nos1 -- 0.8
Mapping: Calm1 Nos2 -- 0.8
Mapping: Calm2 Nos2 -- 0.8
Mapping: Calm3 Nos2 -- 0.8
Mapping: Calm1 Nos3 -- 0.8
Mapping: Calm2 Nos3 -- 0.8
Mapping: Calm3 Nos3 -- 0.8
Mapping: Calml3 Nos1 -- 0.8
Mapping: Calml3 Nos2 -- 0.8
Mapping: Calml3 Nos3 -- 0.8
Mapping: Calm4 Nos1 -- 0.8
Mapping: Calm4 Nos2 -- 0.8
Mapping: Calm4 Nos3 -- 0.8
Mapping: Camk2d Calm1 -- 0.8
Mapping: Camk2d Calm2 -- 0.8
Mapping: Camk2d Calm3 -- 0.8
Mapping: Camk2d Calml3 -- 0.8
Mapping: Camk2d Calm4 -- 0.8
Mapping: Camk2a Calm1 -- 0.8
Mapping: Camk2a Calm2 -- 0.8
Mapping: Camk2a Calm3 -- 0.8
Mapping: Camk2a Calml3 -- 0.8
Mapping: Camk2a Calm4 -- 0.8
Mapping: Camk2b Calm1 -- 0.8
Mapping: Camk2b Calm2 -- 0.8
Mapping: Camk2b Calm3 -- 0.8
Mapping: Camk2b Calml3 -- 0.8
Mapping: Camk2b Calm4 -- 0.8
Mapping: Camk2g Calm1 -- 0.8
Mapping: Camk2g Calm2 -- 0.8
Mapping: Camk2g Calm3 -- 0.8
Mapping: Camk2g Calml3 -- 0.8
Mapping: Camk2g Calm4 -- 0.8
Mapping: Camk4 Calm1 -- 0.8
Mapping: Camk4 Calm2 -- 0.8
Mapping: Camk4 Calm3 -- 0.8
Mapping: Camk4 Calml3 -- 0.8
Mapping: Camk4 Calm4 -- 0.8
Mapping: Ccl19 Cxcr5 -- 0.8
Mapping: CT868723.2 Cxcr5 -- 0.8
Mapping: Ccl19 Ccr6 -- 0.8
Mapping: CT868723.2 Ccr6 -- 0.8
Mapping: Ccl19 Cxcr2 -- 0.8
Mapping: CT868723.2 Cxcr2 -- 0.8
Mapping: Ccl19 Cxcr3 -- 0.8
Mapping: CT868723.2 Cxcr3 -- 0.8
Mapping: Ccl19 Cxcr4 -- 0.8
Mapping: CT868723.2 Cxcr4 -- 0.8
Mapping: Ccl19 Ccr1 -- 0.8
Mapping: CT868723.2 Ccr1 -- 0.8
Mapping: Ccl19 Ccr9 -- 0.8
Mapping: CT868723.2 Ccr9 -- 0.8
Mapping: Ccl19 Ccr1l1 -- 0.8
Mapping: CT868723.2 Ccr1l1 -- 0.8
Mapping: Ccl19 Ccr3 -- 0.8
Mapping: CT868723.2 Ccr3 -- 0.8
Mapping: Ccl19 Ccr2 -- 0.8
Mapping: CT868723.2 Ccr2 -- 0.8
Mapping: Ccl19 Ccr4 -- 0.8
Mapping: CT868723.2 Ccr4 -- 0.8
Mapping: Ccl19 Ccr5 -- 0.8
Mapping: CT868723.2 Ccr5 -- 0.8
Mapping: Ccl19 Ccr7 -- 0.8
Mapping: CT868723.2 Ccr7 -- 0.8
Mapping: Ccl19 Ccr8 -- 0.8
Mapping: CT868723.2 Ccr8 -- 0.8
Mapping: Ccl19 Ccr10 -- 0.8
Mapping: CT868723.2 Ccr10 -- 0.8
Mapping: Ccl19 Cx3cr1 -- 0.8
Mapping: CT868723.2 Cx3cr1 -- 0.8
Mapping: Ccl19 Cxcr1 -- 0.8
Mapping: CT868723.2 Cxcr1 -- 0.8
Mapping: Ccl19 Xcr1 -- 0.8
Mapping: CT868723.2 Xcr1 -- 0.8
Mapping: Ccl19 Cxcr6 -- 0.8
Mapping: CT868723.2 Cxcr6 -- 0.8
Mapping: Ccl27b Cxcr5 -- 0.8
Mapping: CT868723.1 Cxcr5 -- 0.8
Mapping: Gm13306 Cxcr5 -- 0.8
Mapping: Gm2506 Cxcr5 -- 0.8
Mapping: Ccl27b Ccr6 -- 0.8
Mapping: CT868723.1 Ccr6 -- 0.8
Mapping: Gm13306 Ccr6 -- 0.8
Mapping: Gm2506 Ccr6 -- 0.8
Mapping: Ccl27b Cxcr2 -- 0.8
Mapping: CT868723.1 Cxcr2 -- 0.8
Mapping: Gm13306 Cxcr2 -- 0.8
Mapping: Gm2506 Cxcr2 -- 0.8
Mapping: Ccl27b Cxcr3 -- 0.8
Mapping: CT868723.1 Cxcr3 -- 0.8
Mapping: Gm13306 Cxcr3 -- 0.8
Mapping: Gm2506 Cxcr3 -- 0.8
Mapping: Ccl27b Cxcr4 -- 0.8
Mapping: CT868723.1 Cxcr4 -- 0.8
Mapping: Gm13306 Cxcr4 -- 0.8
Mapping: Gm2506 Cxcr4 -- 0.8
Mapping: Ccl27b Ccr1 -- 0.8
Mapping: CT868723.1 Ccr1 -- 0.8
Mapping: Gm13306 Ccr1 -- 0.8
Mapping: Gm2506 Ccr1 -- 0.8
Mapping: Ccl27b Ccr9 -- 0.8
Mapping: CT868723.1 Ccr9 -- 0.8
Mapping: Gm13306 Ccr9 -- 0.8
Mapping: Gm2506 Ccr9 -- 0.8
Mapping: Ccl27b Ccr1l1 -- 0.8
Mapping: CT868723.1 Ccr1l1 -- 0.8
Mapping: Gm13306 Ccr1l1 -- 0.8
Mapping: Gm2506 Ccr1l1 -- 0.8
Mapping: Ccl27b Ccr3 -- 0.8
Mapping: CT868723.1 Ccr3 -- 0.8
Mapping: Gm13306 Ccr3 -- 0.8
Mapping: Gm2506 Ccr3 -- 0.8
Mapping: Ccl27b Ccr2 -- 0.8
Mapping: CT868723.1 Ccr2 -- 0.8
Mapping: Gm13306 Ccr2 -- 0.8
Mapping: Gm2506 Ccr2 -- 0.8
Mapping: Ccl27b Ccr4 -- 0.8
Mapping: CT868723.1 Ccr4 -- 0.8
Mapping: Gm13306 Ccr4 -- 0.8
Mapping: Gm2506 Ccr4 -- 0.8
Mapping: Ccl27b Ccr5 -- 0.8
Mapping: CT868723.1 Ccr5 -- 0.8
Mapping: Gm13306 Ccr5 -- 0.8
Mapping: Gm2506 Ccr5 -- 0.8
Mapping: Ccl27b Ccr7 -- 0.8
Mapping: CT868723.1 Ccr7 -- 0.8
Mapping: Gm13306 Ccr7 -- 0.8
Mapping: Gm2506 Ccr7 -- 0.8
Mapping: Ccl27b Ccr8 -- 0.8
Mapping: CT868723.1 Ccr8 -- 0.8
Mapping: Gm13306 Ccr8 -- 0.8
Mapping: Gm2506 Ccr8 -- 0.8
Mapping: Ccl27b Ccr10 -- 0.8
Mapping: CT868723.1 Ccr10 -- 0.8
