Mapping: YLR079W YPR120C -- 0.978125
Mapping: YKR034W YPR120C -> 0.8
Mapping: YKL108W YPR120C -- 0.75
Mapping: YKL062W YPR120C -> 0.6
Mapping: YKL043W YPR120C -> 0.8
Mapping: YKL042W YPR120C -- 0.65
Mapping: YJL157C YPR120C -- 0.75
Mapping: YIL101C YPR120C -> 0.7
Mapping: YHR118C YPR120C -- 0.825
Mapping: YHR084W YPR120C -> 0.8
Mapping: YHL020C YPR120C -> 0.6
Mapping: YGL131C YPR120C -> 0.95
Mapping: YGL003C YPR120C -- 0.75
Mapping: YFL021W YPR120C -> 0.3
Mapping: YDR216W YPR120C -> 0.3
Mapping: YDL106C YPR120C -> 0.7
Mapping: YDL056W YPR120C -> 0.95
Mapping: YBR240C YPR120C -> 0.8
Mapping: YBR160W YPR120C -- 0.9125
Mapping: YBR135W YPR120C -- 0.875
Mapping: YBL103C YPR120C -> 0.5
Mapping: YPL202C YPR119W -> 0.95
Mapping: YPL049C YPR119W -> 0.95
Mapping: YOR372C YPR119W -> 0.95
Mapping: YNL189W YPR119W -- 0.65
Mapping: YNL068C YPR119W -> 0.95
Mapping: YMR043W YPR119W -> 0.95
Mapping: YLR182W YPR119W -> 0.8
Mapping: YLR131C YPR119W -- 0.75
Mapping: YLR079W YPR119W -- 0.96875
Mapping: YKR048C YPR119W -- 0.755
Mapping: YKL130C YPR119W -- 0.7
Mapping: YJL194W YPR119W -- 0.9125
Mapping: YJL187C YPR119W -- 0.825
Mapping: YJL076W YPR119W -- 0.75
Mapping: YIL131C YPR119W -> 0.95
Mapping: YIL101C YPR119W -> 0.95
Mapping: YHR158C YPR119W -- 0.75
Mapping: YHR084W YPR119W -> 0.95
Mapping: YGR092W YPR119W -- 0.75
Mapping: YGL116W YPR119W -- 0.875
Mapping: YGL071W YPR119W -> 0.5
Mapping: YGL003C YPR119W -- 0.9921875
Mapping: YER111C YPR119W -> 0.95
Mapping: YER111C YPR119W -- 0.75
**Edge already exists 155~1461 --
Mapping: YEL032W YPR119W -- 0.75
Mapping: YDR207C YPR119W -> 0.7
Mapping: YDL056W YPR119W -> 0.5
Mapping: YCL014W YPR119W -- 0.9125
Mapping: YBR160W YPR119W -- 0.999023438
Mapping: YBR135W YPR119W -- 0.978125
Mapping: YBR049C YPR119W -> 0.95
Mapping: YBL032W YPR119W -- 0.7
Mapping: YAL024C YPR119W -- 0.75
Mapping: YOL028C YPR118W -> 0.6
Mapping: YDR451C YPR118W -> 0.7
Mapping: YPL049C YPR116W -> 0.3
Mapping: YOL108C YPR115W -> 0.5
Mapping: YMR043W YPR113W -> 0.95
Mapping: YMR043W YPR112C -> 0.95
Mapping: YER082C YPR112C -- 0.75
Mapping: YMR021C YPR111W -> 0.3
Mapping: YIL106W YPR111W -- 0.75
Mapping: YEL009C YPR111W -> 0.6
Mapping: YPR032W YPR110C -- 0.75
Mapping: YPR010C YPR110C -- 0.9890625
Mapping: YOR341W YPR110C -- 0.99453125
Mapping: YOR340C YPR110C -- 0.96875
Mapping: YOR224C YPR110C -- 0.875
Mapping: YOR210W YPR110C -- 0.9375
Mapping: YOR207C YPR110C -- 0.984375
Mapping: YOR116C YPR110C -- 0.984375
